Teff 5777.0 logg 4.44 [Fe/H] 0.0 massStar 1.0 xiT 1.0 HeFe 0.0 CO 0.0 AlfFe 0.0 lineThresh -3.0 voigtThresh -3.0 lambda0 5.88e-05 lambda1 5.9199999999999996e-05 logGamCol 0.5 logKapFudge 0.0 macroV 8.0 rotV 50.0 rotI 90.0 RV 0.0 nInner 2 nOuter 2 ifTiO 1 sampling fine
Number of lines treated with Voigt profiles: 26
Number of wavelength points: 527
wave (nm)     normalized flux 
588.0004   0.9994
588.0135   0.9987
588.0257   0.9958
588.0532   0.9975
588.0591   0.9969
588.0729   0.9971
588.0809   0.9959
588.0927   0.9938
588.0955   0.9946
588.1   0.9939
588.1032   0.9912
588.106   0.9887
588.1079   0.987
588.1104   0.9867
588.1117   0.9875
588.1145   0.9903
588.1163   0.9921
588.1182   0.9925
588.1197   0.9921
588.123   0.9925
588.1266   0.9934
588.1279   0.9938
588.13   0.9934
588.1334   0.992
588.1369   0.9904
588.1403   0.9901
588.1418   0.9899
588.1437   0.9899
588.1496   0.9923
588.1534   0.9933
588.1576   0.9937
588.1673   0.9896
588.1702   0.9915
588.1729   0.9925
588.178   0.9927
588.181   0.9905
588.184   0.9886
588.187   0.9868
588.1899   0.988
588.1929   0.9915
588.1959   0.9936
588.1989   0.9932
588.2009   0.9937
588.2043   0.9951
588.2069   0.9953
588.2223   0.9924
588.2515   0.9971
588.2573   0.9966
588.2649   0.9975
588.2957   0.9986
588.307   0.9988
588.3234   0.9988
588.3329   0.9959
588.3397   0.9947
588.377   0.9915
588.379   0.9873
588.3815   0.9862
588.3866   0.9927
588.3945   0.9959
588.4125   0.9985
588.4333   0.9979
588.443   0.9963
588.4464   0.9966
588.4577   0.9916
588.4737   0.9881
588.4767   0.9852
588.4861   0.9883
588.4881   0.9882
588.4929   0.9811
588.4944   0.9796
588.4956   0.9777
588.4984   0.9769
588.5003   0.9773
588.5037   0.9804
588.5068   0.9823
588.5096   0.9828
588.5124   0.9776
588.5139   0.9708
588.5151   0.9632
588.5174   0.9517
588.5199   0.9466
588.5243   0.9542
588.5277   0.967
588.5334   0.9629
588.5362   0.9509
588.539   0.9344
588.5419   0.9256
588.5447   0.9277
588.5475   0.9425
588.5504   0.9556
588.5532   0.964
588.556   0.9679
588.5609   0.9719
588.5755   0.9556
588.585   0.9702
588.6019   0.9817
588.6033   0.9817
588.6133   0.9804
588.618   0.9831
588.6312   0.9903
588.6452   0.9955
588.649   0.9949
588.6561   0.9914
588.6949   0.9962
588.6964   0.9966
588.7123   0.9969
588.7293   0.9956
588.7543   0.9964
588.7565   0.9964
588.7707   0.9961
588.793   0.9956
588.8154   0.995
588.8404   0.9938
588.8657   0.9926
588.877   0.9917
588.9001   0.9891
588.9122   0.987
588.9357   0.9792
588.9476   0.9719
588.9578   0.9691
588.9789   0.9627
588.9839   0.9575
588.9951   0.9496
588.9989   0.9482
589.0017   0.9486
589.0035   0.9496
589.0084   0.9536
589.0437   0.9464
589.0532   0.9367
589.0581   0.9305
589.0629   0.9222
589.0774   0.8963
589.0855   0.8762
589.0944   0.8506
589.0966   0.8444
589.0995   0.8367
589.1024   0.828
589.1047   0.8216
589.1098   0.8064
589.1144   0.7924
589.1158   0.7881
589.1202   0.7715
589.1237   0.7519
589.1253   0.7427
589.1271   0.7338
589.1293   0.7249
589.1305   0.7201
589.134   0.707
589.1356   0.7014
589.1374   0.6954
589.1409   0.6841
589.1427   0.6802
589.1443   0.6761
589.146   0.6704
589.1477   0.664
589.1505   0.6555
589.1536   0.6499
589.1573   0.6467
589.1604   0.6469
589.1621   0.6505
589.1634   0.6542
589.1662   0.6659
589.1695   0.6788
589.1711   0.6838
589.1725   0.687
589.174   0.6893
589.1756   0.6915
589.1807   0.6951
589.1961   0.7324
589.1988   0.7457
589.2008   0.7547
589.2036   0.7654
589.2051   0.7703
589.2064   0.774
589.2092   0.7815
589.212   0.7911
589.2148   0.8025
589.2176   0.8112
589.2204   0.8171
589.2216   0.8195
589.2232   0.8235
589.2264   0.8336
589.2279   0.8387
589.2392   0.8657
589.2416   0.872
589.2574   0.91
589.268   0.9259
589.2696   0.9266
589.2831   0.9373
589.2851   0.9363
589.3061   0.9628
589.3089   0.9643
589.3109   0.9655
589.3122   0.9662
589.3178   0.969
589.3216   0.9694
589.3355   0.9698
589.3407   0.9704
589.3444   0.971
589.3495   0.9728
589.3547   0.9757
589.3598   0.975
589.365   0.9736
589.3702   0.9783
589.3753   0.9771
589.3805   0.9723
589.3856   0.9698
589.391   0.972
589.3928   0.9739
589.3945   0.9731
589.3991   0.9657
589.4201   0.9593
589.4345   0.9597
589.4379   0.9581
589.4393   0.9549
589.4421   0.9426
589.4449   0.9257
589.4477   0.9165
589.4505   0.9182
589.4533   0.9343
589.4561   0.9479
589.4589   0.9559
589.4617   0.9594
589.4629   0.961
589.4665   0.9649
589.4717   0.9529
589.4737   0.9486
589.4809   0.9474
589.4872   0.9555
589.4917   0.9631
589.4943   0.9659
589.4969   0.971
589.4995   0.9738
589.5022   0.9762
589.5048   0.9746
589.5074   0.9728
589.51   0.9728
589.5127   0.9729
589.5172   0.9718
589.5307   0.9789
589.5336   0.9772
589.5564   0.9728
589.5603   0.9713
589.5679   0.9734
589.5965   0.9564
589.6018   0.9609
589.6053   0.9654
589.6086   0.9675
589.6228   0.9694
589.6594   0.9485
589.6681   0.9376
589.6748   0.9261
589.6772   0.9213
589.6868   0.8989
589.6972   0.8744
589.7132   0.8328
589.7148   0.8285
589.7212   0.8004
589.7334   0.7497
589.7401   0.7309
589.7441   0.719
589.748   0.7062
589.7508   0.7006
589.7558   0.6975
589.7597   0.7042
589.7636   0.721
589.7676   0.737
589.7715   0.7448
589.7782   0.7501
589.7984   0.8069
589.8368   0.9093
589.8478   0.9309
589.8695   0.9574
589.8751   0.9616
589.8952   0.976
589.898   0.9771
589.9098   0.9807
589.9369   0.9792
589.9617   0.9894
589.9663   0.9901
589.9754   0.9907
589.9871   0.9891
589.9995   0.9868
590.002   0.9866
590.0311   0.9871
590.0417   0.9839
590.0487   0.9833
590.0604   0.9849
590.0637   0.9732
590.0701   0.9634
590.0754   0.9773
590.0809   0.977
590.0839   0.97
590.0869   0.9591
590.0897   0.9507
590.0928   0.9515
590.0958   0.9641
590.0988   0.9733
590.1018   0.9764
590.1048   0.9785
590.1099   0.982
590.1253   0.9719
590.1317   0.9794
590.1546   0.9881
590.1649   0.9869
590.1904   0.9955
590.2061   0.9947
590.2102   0.9964
590.2167   0.9972
590.2334   0.9967
590.2434   0.9956
590.2712   0.994
590.2783   0.9957
590.2803   0.9953
590.2859   0.9949
590.2908   0.9952
590.2936   0.9949
590.2964   0.9941
590.2993   0.9934
590.3021   0.993
590.305   0.9927
590.3078   0.9924
590.3106   0.9919
590.3128   0.9917
590.3161   0.9922
590.3184   0.9926
590.3233   0.9936
590.3264   0.9935
590.333   0.993
590.3609   0.9978
590.3776   0.9981
590.383   0.9983
590.3871   0.9983
590.3913   0.998
590.4138   0.9983
590.4296   0.9973
590.4333   0.9974
590.4345   0.9976
590.4374   0.998
590.4402   0.9976
590.443   0.9967
590.4459   0.9963
590.4487   0.9966
590.4516   0.9968
590.4544   0.997
590.4573   0.9974
590.4621   0.9973
590.4768   0.9953
590.478   0.9955
590.4831   0.9957
590.4861   0.9944
590.4891   0.9927
590.4921   0.9906
590.4951   0.9911
590.4965   0.9921
590.4981   0.9935
590.5011   0.9953
590.5041   0.9954
590.507   0.9958
590.51   0.9962
590.5122   0.9954
590.5146   0.9938
590.5175   0.9921
590.5276   0.9917
590.5569   0.9954
590.5847   0.9973
590.6126   0.9964
590.619   0.9983
590.6466   0.9913
590.6584   0.9908
590.672   0.9904
590.6883   0.9833
590.6907   0.9852
590.6998   0.9767
590.7062   0.9536
590.7145   0.9733
590.7185   0.9701
590.7222   0.9573
590.7251   0.9429
590.7279   0.9356
590.73   0.935
590.7336   0.9503
590.7364   0.9608
590.7393   0.9679
590.7421   0.971
590.7464   0.9753
590.7563   0.9589
590.7606   0.9586
590.77   0.9716
590.7757   0.9778
590.7892   0.9802
590.7911   0.9816
590.7963   0.9818
590.7993   0.9783
590.8022   0.9761
590.8052   0.9766
590.8082   0.9816
590.8112   0.9872
590.8142   0.9893
590.8172   0.9884
590.8202   0.9884
590.8253   0.9912
590.8407   0.9876
590.8422   0.9879
590.8501   0.993
590.87   0.9965
590.8813   0.9957
590.8848   0.9972
590.8875   0.9978
590.8896   0.998
590.8925   0.9977
590.8953   0.9972
590.8982   0.9972
590.9006   0.9969
590.9022   0.9963
590.9039   0.9952
590.9067   0.9935
590.9096   0.9929
590.9124   0.9933
590.9173   0.994
590.9201   0.9939
590.9258   0.9954
590.9319   0.9978
590.9434   0.9974
590.9482   0.997
590.9598   0.9984
590.9615   0.9987
591.0128   0.9983
591.0182   0.999
591.0318   0.9993
591.0491   0.9987
591.0707   0.9967
591.1022   0.9941
591.1137   0.9862
591.1301   0.9841
591.1351   0.9637
591.1447   0.9807
591.1496   0.9782
591.1525   0.9699
591.1553   0.9584
591.1581   0.9507
591.161   0.9516
591.1638   0.9645
591.1667   0.9742
591.1695   0.9779
591.1712   0.9779
591.1773   0.9844
591.1919   0.9719
591.2146   0.9909
591.2198   0.9885
591.2292   0.9882
591.2334   0.9888
591.2729   0.996
591.3034   0.9993
591.3055   0.9989
591.3164   0.9998
591.3207   0.9998
591.3272   0.9998
591.3738   0.9998
591.3835   0.9998
591.4282   0.9998
591.4813   0.9998
591.4872   0.9998
591.4998   0.9995
591.5092   0.9988
591.5239   0.9997
591.5287   0.9996
591.5316   0.9997
591.5344   0.9996
591.5373   0.9992
591.5401   0.9987
591.543   0.9988
591.5458   0.9994
591.5487   0.9993
591.5515   0.9975
591.5564   0.9962
591.5657   0.9985
591.5711   0.9975
591.5756   0.9968
591.599   0.9994
591.6089   0.9969
591.6169   0.9971
591.6291   0.9922
591.6521   0.9956
591.6611   0.9977
591.6703   0.9938
591.6766   0.9944
591.6886   0.9914
591.703   0.986
591.7078   0.9876
591.7106   0.984
591.7134   0.9777
591.7162   0.9714
591.719   0.9709
591.7218   0.9734
